Start	Function name
00438560	MV_ButtonPress
004385A0	MV_ButtonDepress
00438640	_New_Mouseprop
00438780	MouseProp_Update
00438820	MouseProp_Draw
00438D50	_New_MouseAddProp
00438DA0	MouseAddProp_Update
00438EB0	MouseAddProp_Draw
004390E0	_New_SelectCardWndProp
00439140	SelectCardWndProp_NewPrewiewZombie
004393D0	SelectCardWndProp_If_GridCanPreviewTypeZombie
004394A0	SelectCardWndProp_GetTypeZombiePreviewGrid
00439590	SelectCardWndProp_NewPrewiewZombieGroup
00439640	SelectCardWndProp_Show
0043A140	SelectCardWndProp_SetZombiesPreview
0043A690	SelectCardWndProp_Prepare
0043A710	SeleceCardWndProp_If_InheritBoard
0043A740	SeleceCardWndProp_If_LevelNoPreview
0043A7B0	SeleceCardWndProp_If_LeveoPreviewShowHouse
0043A820	SeleceCardWndProp_If_UpsailSlot7
0043A890	SeleceCardWndProp_If_UpsailSlot8
0043A900	SelectCardWndProp_Init
0043B3A0	SeleceCardWndProp_If_Invisible
0043B3C0	SeleceCardWndProp_MoveFast
0043B6A0	SeleceCardWndProp_InitGraves
0043B6F0	SelectCardWndProp_InitLilypadPot
0043B7D0	SeleceCardWndProp_UpdateMain
0043C140	SeleceCardWndProp_InitShove
0043C1E0	r_xinshou_?
0043C200	SelectCardWndProp_Update
0043C3C0	SeleceCardWndProp_PlanLoseSound
0043C410	SelectCardWndProp_ZombieWon
0043C910	SeleceCardWndProp_DieWndMouseDown
0043C950	SeleceCardWndProp_DaveNextTalk
0043CE00	SelectCardWndProp_MouseDown
0043D280	SelectCardWndProp_KeyPress
0043D830	Get_DelayLoadString
0043D940	Get_TimeString
0043DA50	SeleceCardWndProp_ClearBoard
0043DBA0	SeleceCardWndProp_SetBoard_Intro
0043E890	SeleceCardWndProp_SetBoard_Intro_0
0043F310	SeleceCardWndProp_SetBoard_Intro_1
0043FD20	SelectCardWndProp_NewSelectlevelpage
0043FD90	sub_43FD90
00440D20	sub_440D20
00441320	sub_441320
00441590	sub_441590
00441970	String_FindSubString_Chars
004419A0	String_FindSubString_CharsNum
00441A60	String_Cmp
00441AF0	Kill_Std_Badalloc_0
00441B10	j__Kill_Badalloc
00441B20	sub_441B20
00441B80	sub_441B80
00441BC0	sub_441BC0
00441BE0	sub_441BE0
00441C90	sub_441C90
00441CF0	sub_441CF0
00441D20	sub_441D20
00441DD0	WString_SetRankChar
00441E30	sub_441E30
00441E70	sub_441E70
00441F10	sub_441F10
00441FB0	sub_441FB0
00442020	sub_442020
00442110	sub_442110
00442190	sub_442190
00442270	sub_442270
004422F0	sub_4422F0
004424B0	sub_4424B0
004426A0	sub_4426A0
004426E0	sub_4426E0
004428A0	sub_4428A0
004428E0	sub_4428E0
00442920	sub_442920
00442980	_Kill_Std_Lengtherror_
004429A0	sub_4429A0
00442A70	sub_442A70
00442B50	sub_442B50
00442C20	sub_442C20
00442E10	sub_442E10
004430D0	sub_4430D0
00443390	sub_443390
004433E0	sub_4433E0
00443430	sub_443430
00443470	sub_443470
004434F0	sub_4434F0
00443510	Kill_Std_Logicerror
00443550	Kill_Std_Error
004435A0	unknown_libname_2
004435B0	_Kill_Std_Lengtherror__0
004435D0	_New_Std_Logicerror
00443630	_Kill_Std_Lengtherror
004436A0	sub_4436A0
00443730	re_??2@YAPAXI@Z
00443770	sub_443770
004437C0	sub_4437C0
00443810	sub_443810
004438C0	??2@YAPAXI@Z_StaticList
00443920	Get_MapViewOfFile
00443990	sub_443990
004439F0	sub_4439F0
00443AE0	sub_443AE0
00443BE0	sub_443BE0
00443F60	sub_443F60
00444020	sub_444020
004440B0	sub_4440B0
00444110	sub_444110
00444180	sub_444180
00444220	sub_444220
004442C0	sub_4442C0
00444380	sub_444380
004443D0	sub_4443D0
00444490	sub_444490
00444500	sub_444500
00444560	LoadFile??
00444770	Get_CompiledFilePath
004447F0	LoadResouce??
004448E0	sub_4448E0
004449F0	sub_4449F0
00444A50	sub_444A50
00444A90	sub_444A90
00444B20	sub_444B20
00444B60	sub_444B60
00444B80	sub_444B80
00444C50	sub_444C50
00444F50	New_XMLParamMap_Node
00444F90	sub_444F90
00445010	sub_445010
00445060	sub_445060
00445080	sub_445080
004450A0	sub_4450A0
004450F0	sub_4450F0
00445160	String_PlusBy
00445200	sub_445200
00445210	sub_445210
00445290	??2@YAPAXI@Z_16ecx
004452E0	sub_4452E0
00445330	_New_base_820
00445490	sub_445490
004455A0	sub_4455A0
004455E0	sub_4455E0
00445680	_820_CleanAnimsNodes
00445890	_820_Update
004459B0	sub_4459B0
00445B50	sub_445B50
00445D00	sub_445D00
00445E00	sub_445E00
00445F00	sub_445F00
00446000	sub_446000
00446100	sub_446100
004461B0	sub_4461B0
004461F0	sub_4461F0
00446300	sub_446300
004468D0	sub_4468D0
00446960	sub_446960
00446A10	sub_446A10
00446A80	AnimList_Clear
00446B30	sub_446B30
00446B80	sub_446B80
00446D80	sub_446D80
00446EC0	sub_446EC0
00446F00	sub_446F00
00446FD0	sub_446FD0
00447190	sub_447190
004471D0	New_Memoryimage_0
00447340	sub_447340
004473E0	sub_4473E0
00447410	sub_447410
004474F0	sub_4474F0
00447560	sub_447560
00447750	sub_447750
00447820	sub_447820
00447AE0	Dialog_MouseUp_0
00447B00	sub_447B00
00447C60	_New_Btn
00447DE0	this_xigouhanshu
00447E60	sub_447E60
00447EC0	Btn_Draw
00448310	Btn_If_
00448330	Btn_Update
00448470	sub_448470
004484E0	sub_4484E0
00448550	sub_448550
004485C0	TextButton_Draw
00448620	New_Dialogbutton
004486C0	_New_Imagebutton
00448770	Kill_TextButton
00448790	ImageButton_Draw
00448B70	ImageButton_IsPointVisible
00448BC0	New_Imagebutton
00448C80	MV_Widget_Draw
00448C90	Kill_Widget
00448CB0	_New_Mainmenu
00449D00	Kill_MainMenu
00449D20	_Kill_Mainmenu
00449E60	sub_449E60
0044A2E0	sub_44A2E0
0044A320	sub_44A320
0044A650	MainMenu_Draw
0044AB50	MainMenu_DrawOverlay
0044B0D0	sub_44B0D0
0044B2A0	MainMenu_Update
0044BB20	Anim_SetOffset
0044BBC0	MainMenu_AddedToManager
0044BCA0	MainMenu_RemovedFromManager
0044BD80	MainMenu_OrderInManagerChanged
0044BE60	MainMenu_KeyDown
0044C200	MainMenu_KeyChar
0044C360	MainMenu_MouseDown
0044C4C0	MainMenu_ButtonMouseEnter
0044C540	MainMenu_ButtonPress_0
0044C590	MainMenu_EnterAdventure
0044C890	sub_44C890
0044C8C0	MainMenu_ButtonDepress
0044CB00	sub_44CB00
0044CFA0	_New_Building
0044D000	_Kill_Building
0044D070	Building_SnailBubbleDraw
0044D140	Building_Draw
0044D250	Building_BrainlDraw
0044D3A0	Building_GravelDraw
0044D690	Building_SnailDraw
0044D860	Building_CraterDraw
0044DB00	Building_VaseDraw
0044DFD0	Building_LadderDraw
0044E090	Building_GraveInit
0044E1B0	Building_PortalInit
0044E360	Building_PortalVanish
0044E400	Building_PortalUpdate
0044E520	Building_VaseUpdate
0044E5E0	Building_Update
0044E6A0	Building_RakeGetHittedZombie
0044E780	Building_RakeUpdate
0044E8A0	Return_GameApp_843_bool
0044E8C0	Return_If__GameApp_82x_308
0044E8F0	New_Gameapp
0044EAA0	_New_Gameapp
0044EDD0	Kill_Gameapp
0044EDF0	_Kill_Gameapp
0044F1B0	_Kill_Secret
0044F200	GameApp_Shutdown
0044F380	GameApp_Kill_Board_SelectlCardWnd
0044F400	Print
0044F410	GameApp_If_PauseAble
0044F460	GameApp_LostFocus
0044F480	GameApp_WriteToRegistry
0044F530	GameApp_ReadFromRegistry
0044F540	GameApp_WriteFlagRecord
0044F560	GameApp_EnterBoard
0044F5F0	GameApp_NewBoard
0044F6B0	GameApp_RestartBoard
0044F700	sub_44F700
0044F7A0	GameApp_LoadBoard
0044F890	GameApp_CreateBoard
0044F8E0	GameApp_NewMainmenu
